Date,Close,Polarity,Prediction,Subjectivity
1998-01-02,110.62,0,0,0
1998-01-05,112.44,0,0,0
1998-01-06,107.19,0,0,0
1998-01-07,108.38,0,0,0
1998-01-08,104.19,0,0,0
1998-01-09,101.87,0,0,0
1998-01-12,102.62,0,0,0
1998-01-13,103.63,0,0,0
1998-01-14,104.38,0,0,0
1998-01-15,103.25,0,0,0
1998-01-16,105.5,0,0,0
1998-01-20,107.19,0,0,0
1998-01-21,105.13,0,0,0
1998-01-22,104.25,0,0,0
1998-01-23,103.25,0,0,0
1998-01-26,102.13,0,0,0
1998-01-27,105.25,0,0,0
1998-01-28,106.0,0,0,0
1998-01-29,106.81,0,0,0
1998-01-30,107.19,0,0,0
1998-02-02,111.19,0,0,0
1998-02-03,114.25,0,0,0
1998-02-04,114.5,0,0,0
1998-02-05,114.56,0,0,0
1998-02-06,116.94,0,0,0
1998-02-09,121.0,0,0,0
1998-02-10,119.87,0,0,0
1998-02-11,119.81,0,0,0
1998-02-12,119.38,0,0,0
1998-02-13,118.19,0,0,0
1998-02-17,120.75,0,0,0
1998-02-18,121.81,0,0,0
1998-02-19,119.62,0,0,0
1998-02-20,119.81,0,0,0
1998-02-23,121.19,0,0,0
1998-02-24,119.75,0,0,0
1998-02-25,122.38,0,0,0
1998-02-26,123.75,0,0,0
1998-02-27,124.06,0,0,0
1998-03-02,123.75,0,0,0
1998-03-03,125.31,0,0,0
1998-03-04,122.44,0,0,0
1998-03-05,120.5,0,0,0
1998-03-06,121.63,0,0,0
1998-03-09,118.56,0,0,0
1998-03-10,121.56,0,0,0
1998-03-11,124.69,0,0,0
1998-03-12,125.25,0,0,0
1998-03-13,125.25,0,0,0
1998-03-16,128.31,0,0,0
1998-03-17,134.75,0,0,0
1998-03-18,138.13,0,0,0
1998-03-19,135.25,0,0,0
1998-03-20,134.62,0,0,0
1998-03-23,132.69,0,0,0
1998-03-24,134.19,0,0,0
1998-03-25,133.0,0,0,0
1998-03-26,134.19,0,0,0
1998-03-27,134.12,0,0,0
1998-03-30,133.75,0,0,0
1998-03-31,134.87,0,0,0
1998-04-01,136.0,0,0,0
1998-04-02,139.31,0,0,0
1998-04-03,140.12,0,0,0
1998-04-06,147.0,0,0,0
1998-04-07,143.62,0,0,0
1998-04-08,140.25,0,0,0
1998-04-09,141.62,0,0,0
1998-04-13,146.38,0,0,0
1998-04-14,142.75,0,0,0
1998-04-15,140.06,0,0,0
1998-04-16,135.25,0,0,0
1998-04-17,137.25,0,0,0
1998-04-20,134.69,0,0,0
1998-04-21,139.12,0,0,0
1998-04-22,140.12,0,0,0
1998-04-23,136.5,0,0,0
1998-04-24,134.06,0,0,0
1998-04-27,132.62,0,0,0
1998-04-28,133.63,0,0,0
1998-04-29,135.13,0,0,0
1998-04-30,138.56,0,0,0
1998-05-01,140.87,0,0,0
1998-05-04,139.06,0,0,0
1998-05-05,137.0,0,0,0
1998-05-06,135.06,0,0,0
1998-05-07,136.25,0,0,0
1998-05-08,136.88,0,0,0
1998-05-11,138.56,0,0,0
1998-05-12,140.5,0,0,0
1998-05-13,139.5,0,0,0
1998-05-14,139.31,0,0,0
1998-05-15,142.0,0,0,0
1998-05-18,142.25,0,0,0
1998-05-19,144.88,0,0,0
1998-05-20,144.19,0,0,0
1998-05-21,143.75,0,0,0
1998-05-22,144.44,0,0,0
1998-05-26,139.31,0,0,0
1998-05-27,136.06,0,0,0
1998-05-28,136.44,0,0,0
1998-05-29,135.94,0,0,0
1998-06-01,134.06,0,0,0
1998-06-02,136.94,0,0,0
1998-06-03,135.62,0,0,0
1998-06-04,137.5,0,0,0
1998-06-05,140.25,0,0,0
1998-06-08,143.31,0,0,0
1998-06-09,141.56,0,0,0
1998-06-10,142.0,0,0,0
1998-06-11,140.06,0,0,0
1998-06-12,138.88,0,0,0
1998-06-15,68.19,0,0,0
1998-06-16,67.75,0,0,0
1998-06-17,69.63,0,0,0
1998-06-18,69.44,0,0,0
1998-06-19,70.38,0,0,0
1998-06-22,69.31,0,0,0
1998-06-23,70.19,0,0,0
1998-06-24,73.12,0,0,0
1998-06-25,72.38,0,0,0
1998-06-26,73.25,0,0,0
1998-06-29,75.63,0,0,0
1998-06-30,75.5,0,0,0
1998-07-01,75.5,0,0,0
1998-07-02,75.44,0,0,0
1998-07-06,77.0,0,0,0
1998-07-07,75.0,0,0,0
1998-07-08,73.62,0,0,0
1998-07-09,73.62,0,0,0
1998-07-10,74.5,0,0,0
1998-07-13,74.37,0,0,0
1998-07-14,75.5,0,0,0
1998-07-15,75.19,0,0,0
1998-07-16,75.0,0,0,0
1998-07-17,74.94,0,0,0
1998-07-20,75.0,0,0,0
1998-07-21,71.5,0,0,0
1998-07-22,72.94,0,0,0
1998-07-23,73.12,0,0,0
1998-07-24,73.62,0,0,0
1998-07-27,73.75,0,0,0
1998-07-28,73.38,0,0,0
1998-07-29,72.56,0,0,0
1998-07-30,74.62,0,0,0
1998-07-31,75.63,0,0,0
1998-08-03,74.81,0,0,0
1998-08-04,69.63,0,0,0
1998-08-05,71.37,0,0,0
1998-08-06,71.5,0,0,0
1998-08-07,69.19,0,0,0
1998-08-10,68.5,0,0,0
1998-08-11,65.75,0,0,0
1998-08-12,66.19,0,0,0
1998-08-13,64.12,0,0,0
1998-08-14,64.38,0,0,0
1998-08-17,66.5,0,0,0
1998-08-18,69.19,0,0,0
1998-08-19,67.88,0,0,0
1998-08-20,65.37,0,0,0
1998-08-21,63.69,0,0,0
1998-08-24,64.06,0,0,0
1998-08-25,64.12,0,0,0
1998-08-26,64.25,0,0,0
1998-08-27,58.12,0,0,0
1998-08-28,56.5,0,0,0
1998-08-31,52.5,0,0,0
1998-09-01,54.87,0,0,0
1998-09-02,54.87,0,0,0
1998-09-03,49.25,0,0,0
1998-09-04,45.38,0,0,0
1998-09-08,47.13,0,0,0
1998-09-09,44.62,0,0,0
1998-09-10,42.75,0,0,0
1998-09-11,46.0,0,0,0
1998-09-14,46.25,0,0,0
1998-09-15,49.12,0,0,0
1998-09-16,49.94,0,0,0
1998-09-17,47.88,0,0,0
1998-09-18,47.44,0,0,0
1998-09-21,46.81,0,0,0
1998-09-22,46.12,0,0,0
1998-09-23,50.13,0,0,0
1998-09-24,46.38,0,0,0
1998-09-25,45.5,0,0,0
1998-09-28,44.56,0,0,0
1998-09-29,45.0,0,0,0
1998-09-30,43.12,0,0,0
1998-10-01,40.72,0,0,0
1998-10-02,43.75,0,0,0
1998-10-05,41.5,0,0,0
1998-10-06,41.06,0,0,0
1998-10-07,40.25,0,0,0
1998-10-08,40.5,0,0,0
1998-10-09,42.81,0,0,0
1998-10-12,43.06,0,0,0
1998-10-13,42.69,0,0,0
1998-10-14,41.69,0,0,0
1998-10-15,47.0,0,0,0
1998-10-16,49.09,0,0,0
1998-10-19,51.25,0,0,0
1998-10-20,53.06,0,0,0
1998-10-21,54.0,0,0,0
1998-10-22,56.06,0,0,0
1998-10-23,55.69,0,0,0
1998-10-26,54.5,0,0,0
1998-10-27,52.0,0,0,0
1998-10-28,52.38,0,0,0
1998-10-29,54.12,0,0,0
1998-10-30,56.81,0,0,0
1998-11-02,56.5,0,0,0
1998-11-03,56.25,0,0,0
1998-11-04,58.0,0,0,0
1998-11-05,60.38,0,0,0
1998-11-06,61.0,0,0,0
1998-11-09,58.31,0,0,0
1998-11-10,57.19,0,0,0
1998-11-11,56.62,0,0,0
1998-11-12,55.12,0,0,0
1998-11-13,57.19,0,0,0
1998-11-16,57.87,0,0,0
1998-11-17,61.25,0,0,0
1998-11-18,61.81,0,0,0
1998-11-19,61.5,0,0,0
1998-11-20,61.94,0,0,0
1998-11-23,65.0,0,0,0
1998-11-24,64.81,0,0,0
1998-11-25,65.62,0,0,0
1998-11-27,65.44,0,0,0
1998-11-30,63.44,0,0,0
1998-12-01,62.13,0,0,0
1998-12-02,63.0,0,0,0
1998-12-03,61.25,0,0,0
1998-12-04,64.12,0,0,0
1998-12-07,65.0,0,0,0
1998-12-08,64.62,0,0,0
1998-12-09,63.81,0,0,0
1998-12-10,62.75,0,0,0
1998-12-11,60.87,0,0,0
1998-12-14,58.81,0,0,0
1998-12-15,60.75,0,0,0
1998-12-16,63.5,0,0,0
1998-12-17,69.87,0,0,0
1998-12-18,69.5,0,0,0
1998-12-21,72.25,0,0,0
1998-12-22,71.75,0,0,0
1998-12-23,71.25,0,0,0
1998-12-24,70.75,0,0,0
1998-12-28,71.37,0,0,0
1998-12-29,72.0,0,0,0
1998-12-30,72.0,0,0,0
1998-12-31,71.0,0,0,0
1999-01-04,71.88,0,0,0
1999-01-05,72.44,0,0,0
1999-01-06,74.0,0,0,0
1999-01-07,77.06,0,0,0
1999-01-08,75.5,0,0,0
1999-01-11,76.25,0,0,0
1999-01-12,73.88,0,0,0
1999-01-13,71.62,0,0,0
1999-01-14,68.25,0,0,0
1999-01-15,70.88,0,0,0
1999-01-19,74.37,0,0,0
1999-01-20,77.13,0,0,0
1999-01-21,75.38,0,0,0
1999-01-22,71.88,0,0,0
1999-01-25,74.44,0,0,0
1999-01-26,74.25,0,0,0
1999-01-27,73.12,0,0,0
1999-01-28,73.62,0,0,0
1999-01-29,76.94,0,0,0
1999-02-01,76.81,0,0,0
1999-02-02,76.81,0,0,0
1999-02-03,79.38,0,0,0
1999-02-04,77.94,0,0,0
1999-02-05,76.44,0,0,0
1999-02-08,73.12,0,0,0
1999-02-09,72.0,0,0,0
1999-02-10,73.06,0,0,0
1999-02-11,76.12,0,0,0
1999-02-12,74.06,0,0,0
1999-02-16,77.69,0,0,0
1999-02-17,77.25,0,0,0
1999-02-18,76.25,0,0,0
1999-02-19,76.06,0,0,0
1999-02-22,81.0,0,0,0
1999-02-23,81.87,0,0,0
1999-02-24,78.81,0,0,0
1999-02-25,79.5,0,0,0
1999-02-26,79.62,0,0,0
1999-03-01,80.75,0,0,0
1999-03-02,80.31,0,0,0
1999-03-03,80.69,0,0,0
1999-03-04,83.37,0,0,0
1999-03-05,86.88,0,0,0
1999-03-08,85.81,0,0,0
1999-03-09,87.94,0,0,0
1999-03-10,88.94,0,0,0
1999-03-11,88.19,0,0,0
1999-03-12,88.0,0,0,0
1999-03-15,87.25,0,0,0
1999-03-16,84.81,0,0,0
1999-03-17,82.38,0,0,0
1999-03-18,83.88,0,0,0
1999-03-19,82.5,0,0,0
1999-03-22,81.87,0,0,0
1999-03-23,79.56,0,0,0
1999-03-24,79.38,0,0,0
1999-03-25,81.5,0,0,0
1999-03-26,80.5,0,0,0
1999-03-29,82.25,0,0,0
1999-03-30,81.94,0,0,0
1999-03-31,81.38,0,0,0
1999-04-01,79.38,0,0,0
1999-04-05,78.75,0,0,0
