date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2015-09-11 23:59:51,BradleeDean1,,0,1,1,"Ted Cruz Responds to Europe ’s Refugee Crisis – Blames Russia & Turkey for Making Matters Worse! http:// po.st/VYmtd9 via @BradleeDean1",,@BradleeDean1,,642487749698809856,https://twitter.com/BradleeDean1/status/642487749698809856
2015-09-11 23:58:57,kcingram50,DavidJoBrexit,0,1,1,"@DavidJo52951945 @TenquidOk Germany has ensured Islamic Europe ; study Quran or emigrate now or be on TV as a refugee in +- 5 years",,@DavidJo52951945 @TenquidOk,,642487525408382976,https://twitter.com/kcingram50/status/642487525408382976
2015-09-11 23:58:14,demencius74,,0,1,0,"SAUDI ARABIA HAS 100,000 AIR CONDITIONED TENTS,CAN HOUSE 3 MILLION, HAS TAKEN ZERO REFUGEES Europe takes the burden http://www. infowars.com/saudi-arabia-h as-100000-empty-air-conditioned-tents-that-can-house-3-million-people-yet-has-taken-zero-refugees/ …",,,,642487345858670592,https://twitter.com/demencius74/status/642487345858670592
2015-09-11 23:57:44,undogmatic1,,0,0,0,"Gostei de um vídeo do @YouTube http:// youtu.be/KVV6_1Sef9M?a Understanding the Refugee Crisis in Europe , Syria, and around the World",,@YouTube,,642487218163064832,https://twitter.com/undogmatic1/status/642487218163064832
2015-09-11 23:55:56,marketstocknews,,0,0,0,"RT MarketWatch: Watch: Why Europe ’s refugee crisis is happening now http:// on.mktw.net/1Qt6ErA pic.twitter.com/9KuaUpjEB5",,,,642486766583312384,https://twitter.com/marketstocknews/status/642486766583312384
2015-09-11 23:55:56,FCDiablos1,,3,2,1,"@Anfield_Oracle if bordering Muslim countries won't take the refugees why should Europe ? People have lost their minds",,@Anfield_Oracle,,642486764737830912,https://twitter.com/FCDiablos1/status/642486764737830912
2015-09-11 23:55:40,ltholmes,,0,0,0,"MarketWatch: Watch: Why Europe ’s refugee crisis is happening now http:// on.mktw.net/1Qt6ErA pic.twitter.com/AujP4ARBLS",,,,642486699075964929,https://twitter.com/ltholmes/status/642486699075964929
2015-09-11 23:54:40,amurekharjaes,,0,0,0,"Via @thecomet24 - People in Stevenage and North Herts show their support for refugees seeking safety in Europe http://www. thecomet.net/news/people_in _stevenage_and_north_herts_show_their_support_for_refugees_seeking_safety_in_europe_1_4227728 …",,@thecomet24,,642486448910934020,https://twitter.com/amurekharjaes/status/642486448910934020
2015-09-11 23:54:31,hewulezuhuxe,,0,0,0,"Accept refugee quotas or build walls? Europe ’s divisions deepen – Christian Science Monitor http:// ift.tt/1OIe1tY",,,,642486409497059328,https://twitter.com/hewulezuhuxe/status/642486409497059328
2015-09-11 23:53:25,amurekharjaes,,0,0,0,"Refugee Crisis Is Not Just Europe 's Problem, Says UK Islamic Leader http:// benzinga.com/z/5818510 vía @benzinga",,@benzinga,,642486131494359040,https://twitter.com/amurekharjaes/status/642486131494359040
2015-09-11 23:52:54,Just_A_Bill_,,0,0,0,"RICH LOWRY: The Refugee Crisis Is Exposing Europe ’s Folly | Instapundit http:// pjmedia.com/instapundit/21 4272/ …",,,,642486003857555456,https://twitter.com/Just_A_Bill_/status/642486003857555456
2015-09-11 23:52:49,davidjones720,,0,0,0,"Ted Cruz Responds to Europe ’s Refugee Crisis - Blames Russia & Turkey for Making Matters Worse! » Sons of Liberty http:// sonsoflibertymedia.com/2015/09/ted-cr uz-responds-to-europes-refugee-crisis-blames-russia-turkey-for-making-matters-worse/ …",,,,642485983028490240,https://twitter.com/davidjones720/status/642485983028490240
2015-09-11 23:52:13,jfweber,1957_Tintin_,0,6,2,"Arrest Assad, take him to the Haigue. That solves Europe and Mideast refugee crisis People can return to Syria https:// twitter.com/1957_Tintin_/s tatus/642475465194795008 …",,,,642485830683111424,https://twitter.com/jfweber/status/642485830683111424
2015-09-11 23:51:24,WMALHittle,AnshelPfeffer,0,0,1,"Good read on middle class Syrian refugees . Says Europe won't be same. Influx of youth, change aging demographics? https:// twitter.com/AnshelPfeffer/ status/642427060988723200 …",,,,642485626739257344,https://twitter.com/WMALHittle/status/642485626739257344
